"@TalktoBPI Hi, why can't I open a new account using a mobile app? Thanks"
@banco_bpi não posso fazer login na app do banco
Queria saber pq o app do bpi não quer abrir
"Alguém por aqui com problemas em entrar no BPI, por web ou app?"
"@DenunciaBurlas O BPI sempre que entro na app, tem alertas de segurança para as tentativas de phishing."
"@banco_bpi Infelizmente uso a vossa app, mas ela precisa dr uma restauração no UI. Estamos no ano 2023 e parece uma app dos anos 2009 com a conjugação de cores horrível"
@banco_bpi O que é um multibanco? O que são dependências bancárias? Ponham lá Criptoactivos e moedas digitais na app pois os PPRs estão moribundos
De acordo com a santa da minha mãe o Mbappe chama-se BPI eu amei
BPI Broker considerada a melhor app de negociação em bolsa recebe prémio internacional
@srprogrammer Gosto muito do Activo Bank e a app do BPI é uma bosta
o bpi só pode estar a gozar com a minha cara na app não me deixa fazer transferências internacionais no bpi net não me deixa sequer fazer transferências caralhos os fodam
@banco_bpi Seu app é o pior app de banco que eu já tive em toda minha vida
#savethedate seance de #dedicace 7 décembre de 15h à 17h / merci à la @LibrairieGourmande #livreaddict #lhospitaliteetlementorat / @BPI @AntoineViollette / #Livres #Manifeste #accueil #service #transmission #restaurant #restauration #apprentissage #ecrire #Hospitality
n consigo aceder à minha app do bpi e preciso de ir atestar o carro… vou ter de fazer à moda antiga e ir a uma caixa de mb?
alguém com conta no bpi e app no tlm?
A stressar me com a cp e com a app do bpi e nem bilhete consegui comprar
laging may issue BPI app no skskskskkekba
"👉 Como posso criar um? Através da BPI App, do BPI Net, ou da app MBWay."
"@Pndulo @jonasnuts A app do BPI é igual às do mbway. A do cartão Universo tb o permite. Neste caso podes criar uma para 30 dias, nas compras online cria por mais tempo pois a devolução do dinheiro é para o mesmo cartão."
"Respect ME é o 1° álbum de sucessos da rapper, lançado pela Atlantic Records em 4 de setembro de 2006. O disco inclui a coleção de singles de todos os 6 álbuns, lançados entre 1997 a 2005. Em 2006, foi certificado Ouro pelo BPI, por vender mais de 100 mil cópias no Reino Unido."
dps de abrir a app do bpi
mais um dia que app do BPI está em baixo
"A HappyVore, levantou €35 milhões em uma rodada. O investimento foi liderado pela Invus, com participações de Artal e BPI France, bem como os investidores anjos Adrien de Schompré e Philippe Cantet. Confira! #veganismo"
"Estou há 3 anos a tentar entrar na app do BPI, socorro."
n consigo criar conta na app do bpi nem por nada
"@banco_bpi bloqueado na BPI app por falta de validar dados, embora o app não os aceita depois de atualizados/inseridos. Serviço frustrante e insuficiente. Banco de Portugal para que é a atualização de dados? Porque um português confirmar a sua nacionalidade?"
o designer da app do bpi estava claramente em ácidos quando fez isto
"@banco_bpi Bom dia. Nao sou capaz de pagar o IMI da app do banco (vivo na França). A app diz : nao é possivel agora, espremente mais tarde. É normal ?"
Que app é esta bpi 🫣
"@banco_bpi Gostei do exemplo de inclusividade ao deixar alguém daltónico escolher as cores para a nova app. Há planos para acrescentar alguns temas que sejam remotamente aceitáveis, ou é suposto sofrer mais de um ano a olhar para como ela está?"
E a app do bpi que agr chama se age
@banco_bpi expliquem-me a atualização da app
"Pessoal que tem conta no bpi, a vossa app tbm ta diferente ?🤔🤔 Tou há nora 🙄"
Eu imagino a quantidade de dinheiro gasto na “nova app” para depois o resulto ser ESTE. Damn BPI… que péssimo
"@BrunoFigueiredo A minha app do BPI está totalmente funcional. Gosto da app do Santander. Para mim, a melhor é do Banco Best."
@joaohscosta A app BPI e BPI Net Empresas ☠️😵
@_analexandra Tive a procura disso das autorizações na App do BPI não encontrei…mas é possível pq eu até a uns tempos mexi nisso na app e desde então é que tive o atrofio…deve ser isso mm é só encontrar agr essas definições mas ta fdd
@banco_bpi Agora já está OK. Na app sempre consegui aceder (hoje).
Lusa - Business News - Portugal BPI approves €194M in dividends to CaixaBank
Um medo chamado abrir a bpi app :’)
"Chega de burocracias e filas. Com o Crédito Habitação BPI pode fazer a sua simulação na app e receber aprovação prévia de forma simples, prática e descomplicada. Saiba mais aqui:"
@banco_bpi Deixar adicionar o cartão bpi à apple wallet. É o único que não é possível
"O novo serviço de corretagem online chegou! Apresentamos o BPI Broker. 📱 Esta nova app permite negociar em tempo real e enviar ordens de bolsa mais rápidas, com cotações de mercado em streaming puro e novas ferramentas de análise. Saiba tudo aqui:"
"“Ah e tal, web3 e o camandro…” A app do BPI neste momento (e quase sempre). 🤷🏻‍♂️"
Alguém que tenha BPI app que me diga se consegue entrar ou não pfvvv
@banco_bpi Eu quero e saber quando metem o cartão a dar com o applepay
"@PJFDF @nosuchuser Eu nos pagamentos online já recebo na app do BPI, mas o resto feito no homebanking é tudo SMS. E é relativamente fácil roubar um número a alguém."
@banco_bpi O suporte ao apple pay é que ainda é uma miragem…
"@banco_bpi O que me facilitava o dia a dia era se deixassem de cobrar comissões e taxas de manutenção abusivas, não uma app."
"@banco_bpi Boas noticias.. mal só mesmo o bpi ser o único banco português a nao oferecer apple pay nos seus serviços, apenas para o cartão gold ?!? 😩"
@banco_bpi O BPI nao vai receber prenda no sapatinho... diz que vem aí o apple pay há mais de um ano e nadaaaaaa
"@banco_bpi É possível quem tem cartão Premio e não tem conta no BPI registar-se pela APP? É que que descontinuaram o acesso online ao cartão, dão a indicação para aceder pela app, mas dá sempre sessão expirada, ou é obrigatório ter conta? #BPIPREMIO"
Down po ba bpi app niyo? Ksksksjsjs
"@JoanaLunetS Pois, toda gente me diz bem do Millenium. Eu sou BPI e estou farto daquela app horrível"
"Mais alguém é bpi? O meu mbway não funciona na app há 2 dias, wtf?"
@sappeurmajor @AU_de @bmsgpk @BPI_Pharma Daddy DeVito
@banco_bpi Quando estará disponível a compra de ações pela app? Bom dia.
@banco_bpi App... mas bom seria incluirem apple pay
"gostava que a app do bpi funcionasse, tenho mesmo de ver uma coisa"
"@banco_bpi isso era se conseguisse usar o cartão porque nem o vosso site funciona, quanto mais a app para aprovar o uso do cartão. E tudo isto por um serviço pago..."
@banco_bpi Tema já entretanto endereçado com vários canais do banco. A app esteve em baixo e com problemas. Work around que me foi sugerido em situações futuras foi criar cartões mbnet.
"@SergioSilvestre @banco_bpi Vai à app, cancela a adesão e adere novamente. Pode ser que resolva!"
@nmfernandes70 @banco_bpi É preciso ir à app aprovar cada pagamento. O problema é que a app não te gera notificações e não consegues aprovar no PC nem na linha de atendimento. É efectivamente um problema da app mas que não tem work around por mais nenhum canal.
@SergioSilvestre @banco_bpi Tb eu mas tive de ir a app ativar novamente.
@SergioSilvestre @banco_bpi Tens que ir à app BPI ativar o 3D Secure.
"@BrunoFigueiredo Quando voltei a Portugal voltei ao BPI (onde tinha conta antes e onde o meu pai também tem conta há décadas). Não estou nada impressionado com o serviço bem com as apps e site deles! Pra mim a vantagem é acesso direto a um gestor de conta, mas nem recorro muito a isso… 😬🙈"
@banco_bpi Bom dia querido banco. Para quando apple pay nos cartoes bpi ?
"@Syrah___ Deixei de usar a app. Passei a usar o mbway dentro da app do BPI, para não pagar comichões... Mas mais tarde ou mais cedo todos vão cobrar"
@EscrivaV Que s’appelerio BPI France ?????
"Perdeu o #keynote do #sapphirenow? Não tem problemas, ainda da pra assistir. Muito interessante a discussão de #BPI diga-se de passagem"
"Vocês @banco_bpi sabem que isto das notificações 3DSecure via a vossa app ... não funciona, certo? Ou é apenas comigo?"
Validar operações de compras via Internet utilizando cartões de crédito emitidos pelo @banco_bpi é uma aventura! Não funciona a porcaria da app! O BPI já foi um banco!
"O BPI lançou a app BPI Broker, uma app que permite gerir o vosso portefólio de acções."
"Ena, nova versão da app do BPI net empresas. O menu está óptimo."
"@banco_bpi Na app do diz “o futuro é agora “ pois bem, onde está Apple Pay??"
@rmxbIackbear @happyyouare bpi (belo pênis irmão)
Nao percebo porque é que a app do Bpi nao está a dar
@catiaf0nseca Se eu vou criar uma página para a app do BPI estar isolada? Sim vou
"Entao no meu tele a app da netflix está ao pé da do BPI, e acho uma falta de respeito eu querer passar um bom bocado e acabar a relembrar me que tenho dinheiro para copos de plástico mas não para a bebida para pôr neles mas ok"
@afivoid Porra e aquela merda que eles mostram o dinheiro que entrou e o que saiu 😭 não bpi não quero ver tristezas assim que abro a app
Mano a app do BPI tá numa categoria diferente... Aquilo é God level homebanking
@tirotiroteio @multibanco Experimenta mete no Google. Aconteceu-me o mesmo com app do BPI e era phishing
@banco_bpi Pergunto-me se experimentaram a app web.. sem falar da app mobile para empresas.. 🤔
Caralho da app do BPI não me deixa usar mbway quando mais preciso
A cada dia que Bro a app do BPI o número que está lá aumenta 🤩 isto sim é lindo
@PLAYTAXl eu tenho pela app do bpi 😭 consigo fazer tudo mas ninguém me consegue mandar
vai fazer 1 ano dia 11 que abri conta no banco passei este tempo todo a tentar ter mbway pela app mas dava sempre erro até descobrir (HOJE) que existe um separador na app do bpi com as funções do mbway
Estou sempre a confundir a app do BPI com o Soundcloud
"@EsquerdaPetinga @LiberalPT Ainda bem que isso foi aprovado, mas entendo só votos contra, o MB WAY tem de ser sustentado de alguma maneira não apareceu do céu. E se não quiserem pagar usem as apps dos bancos (bpi e cgd por exemplo) que têm mbway integrado e sem taxas"
"Nicki Minaj tem agora 16,6 milhões de unidades certificadas pelo BPI em álbuns, singles e recursos. - Atualmente ela é a rapper feminina com as unidades mais certificadas no Reino Unido! 🇬🇧 #NickiMinaj"
"@lourencx @forumpandlr 4 vezes indicada ao Grammy, terceira rapper mais seguida do YouTube, múltiplos certificados pela RIAA, ARIA e BPI. Vendas mundiais acima dos 40 milhões de cópias, 3 Top #10 Hot 100, incluindo o #1 por 7 semanas consecutivas.E recordes na Hot 100. Anitta: MC da empresa J Balvin."
"@kimlipstar Sfptro! Bpi idst qts gsxrt gtsxrd frvpfogovsfsd. Queria só deixar uma coisa interessante, descidir usar o idioma xeileles no Google pra pesquisar nomes de aplicativos. Exemplos: YouTube ••••&gt; UpiYinr Facebook ••••&gt; Gsvrnppl Pior, deu certo, realmente apareceu os apps."
Acabei de descobrir uma funcionalidade da app do BPI e estou chocada com o dinheiro que gastei em roupa e acessórios em 2019
"Da saga coisas que só me acontecem a mim, o bpi decidiu cancelar a minha adesão pela app, é de frisar que não fiz rigorosamente nada"
Alguém tem app BPI no tel? Kinda need help
@banco_bpi A vossa app no android nao esta a funcionar
então do nada o bpi decidiu que já não pago taxa pela app do mbway? love that for me
"@dvsk80 @banco_bpi Mas a app já funciona impecável, pá! 🙂"
@12Landim O único problema que vi foi na app do BPI que durante um dia não mostrava o extrato do cartão de crédito. De resto tudo bem.
Queria só dizer que a app do BPI está impecável.
"@ruimoura Os meus BCP, BPI e CGD todos começaram a cobrar e eu apaguei a app."
@jybtcsn Sa bpi mobile app sksks
"alguém sabe como éq eu posso carregar o cartão pelo telemóvel? a app bpi não está a dar, o my Vodafone também não!! precisava mesmo de ajuda :/"
"@partiick_ @ricardodf2501 Tens que usar a app da BPI mm, la eles tem opção para mbway"
"@andrefmont eu mandei vir porque me foi prometido que era mais seguro, porque eu grande parte das coisas tipo consultas e afins eu consigo ver na app do BPI, já, é mais para poder meter lá o € que eu quiser e poder bloquear caso o perca"
"@vesuviusnasby @LiberalLx @LiberalPT O BPI só cobra se for pela app mbway, se for pela app deles é grátis"
